year,state,statefip,stateAbbrev,realIncWage,gini,pctTechnicalWorker,pctFemaleWorker,unemployementRate,realIncWageRat90_10,realIncWageRat_cg_hs,laborSupply_hl,fmWageRat
1980,Alabama,1,AL,33793,.324,.033,.36,.069,4.717000000000001,1.656,.313,.608
1981,Alabama,1,AL,34164,.308,.032,.379,.081,4.283,1.428,.337,.598
1982,Alabama,1,AL,35379,.32,.04,.372,.118,4.505,1.44,.277,.5710000000000001
1983,Alabama,1,AL,36599,.326,.032,.385,.131,4.432,1.549,.358,.5630000000000001
1984,Alabama,1,AL,36943,.329,.017,.377,.104,4.701000000000001,1.533,.364,.617
1985,Alabama,1,AL,36784,.327,.04,.396,.093,4.719,1.498,.354,.61
1986,Alabama,1,AL,38629,.327,.042,.392,.104,4.5,1.862,.471,.5530000000000001
1987,Alabama,1,AL,37048,.355,.04,.408,.083,5.386,1.846,.382,.5700000000000001
1988,Alabama,1,AL,36684,.328,.035,.398,.068,5,1.682,.367,.647
1989,Alabama,1,AL,34854,.328,.03,.429,.065,4.5,1.686,.339,.664
1990,Alabama,1,AL,34921,.317,.033,.446,.059,4.07,1.858,.339,.65
1991,Alabama,1,AL,34983,.315,.036,.41,.08,4.301,1.739,.404,.6990000000000001
1992,Alabama,1,AL,35757,.325,.027,.449,.08,4.667,1.508,.502,.704
1993,Alabama,1,AL,36568,.324,.024,.433,.075,4.352,1.664,.485,.645
1994,Alabama,1,AL,36568,.331,.046,.432,.058,5.111,1.878,.528,.666
1995,Alabama,1,AL,40621,.341,.058,.422,.051,5,1.913,.623,.624
1996,Alabama,1,AL,39682,.338,.023,.465,.056,4.311,1.767,.609,.653
1997,Alabama,1,AL,40178,.335,.036,.508,.043,4.167,1.651,.643,.6830000000000001
1998,Alabama,1,AL,42317,.321,.052,.487,.041,4.5,1.69,.716,.708
1999,Alabama,1,AL,45088,.339,.035,.44,.045,4.308,1.774,.712,.6910000000000001
2000,Alabama,1,AL,41805,.33,.039,.461,.037,4.583,1.781,.578,.717
2001,Alabama,1,AL,45060,.346,.044,.454,.05,4.692,1.927,.626,.663
2002,Alabama,1,AL,49033,.37,.064,.458,.067,4.857,1.771,.728,.665
2003,Alabama,1,AL,47951,.351,.054,.448,.057,5,1.757,.751,.642
2004,Alabama,1,AL,48586,.372,.058,.451,.056,5,1.887,.741,.654
2005,Alabama,1,AL,47080,.357,.042,.451,.039,4.886,1.907,.668,.712
2006,Alabama,1,AL,47965,.369,.063,.454,.041,4.667,1.985,.606,.658
2007,Alabama,1,AL,45691,.361,.046,.474,.039,5.034,1.891,.629,.787
2008,Alabama,1,AL,49915,.391,.048,.474,.054,5.182,2.044,.721,.626
2009,Alabama,1,AL,48319,.364,.061,.45,.113,4.748,2.11,.665,.661
2010,Alabama,1,AL,47292,.37,.052,.5,.122,5,1.957,.6870000000000001,.75
2011,Alabama,1,AL,49399,.36,.056,.47,.113,4.722,1.976,.841,.772
2012,Alabama,1,AL,49584,.363,.068,.455,.082,5,2.019,.877,.6880000000000001
2013,Alabama,1,AL,46740,.355,.067,.446,.083,5,1.861,.893,.8310000000000001
2014,Alabama,1,AL,45945,.346,.042,.463,.091,5.152,1.68,.8200000000000001,.75
1980,Alaska,2,AK,53932,.31,.061,.393,.096,5.195,1.163,.627,.5520000000000001
1981,Alaska,2,AK,53804,.315,.053,.39,.116,5.436,1.358,.674,.595
1982,Alaska,2,AK,54656,.324,.067,.419,.117,5.4,1.201,.667,.592
1983,Alaska,2,AK,52560,.324,.035,.418,.123,5.23,1.303,.615,.603
1984,Alaska,2,AK,51760,.318,.041,.404,.111,5.128,1.415,.669,.6800000000000001
1985,Alaska,2,AK,56222,.321,.04,.405,.091,5,1.575,.721,.656
1986,Alaska,2,AK,57293,.315,.051,.423,.115,4.417,1.59,.842,.672
1987,Alaska,2,AK,57636,.311,.036,.453,.13,4.667,1.461,.8020000000000001,.6810000000000001
1988,Alaska,2,AK,55459,.291,.036,.465,.106,4.261,1.481,.786,.715
1989,Alaska,2,AK,52174,.326,.043,.456,.076,4.9,1.523,.715,.6820000000000001
1990,Alaska,2,AK,53611,.3,.039,.418,.07,4.071,1.461,.716,.707
1991,Alaska,2,AK,50685,.328,.051,.447,.084,5.455,1.639,.755,.642
1992,Alaska,2,AK,51162,.312,.03,.464,.098,5,1.514,.848,.622
1993,Alaska,2,AK,52476,.298,.034,.438,.091,4.58,1.483,.844,.6870000000000001
1994,Alaska,2,AK,52403,.317,.037,.455,.09,5.165,1.578,.903,.6820000000000001
1995,Alaska,2,AK,52922,.309,.049,.431,.09,4.432,1.489,.852,.717
1996,Alaska,2,AK,55657,.321,.045,.436,.091,4.667,1.601,.857,.6870000000000001
1997,Alaska,2,AK,55687,.304,.049,.458,.094,4.2,1.653,.9510000000000001,.6870000000000001
1998,Alaska,2,AK,57415,.35,.077,.443,.06,5,1.362,.908,.628
1999,Alaska,2,AK,55062,.333,.075,.447,.083,4.69,1.827,.886,.708
2000,Alaska,2,AK,54608,.339,.056,.45,.097,5,1.76,.848,.7010000000000001
2001,Alaska,2,AK,56273,.339,.039,.433,.079,4.412,1.824,.8060000000000001,.7010000000000001
2002,Alaska,2,AK,57807,.33,.049,.46,.079,4.393,1.591,.904,.734
2003,Alaska,2,AK,53523,.315,.05,.448,.088,4.412,1.553,.8020000000000001,.75
2004,Alaska,2,AK,53020,.31,.05,.422,.088,4.111,1.498,.8130000000000001,.796
2005,Alaska,2,AK,55894,.329,.045,.451,.071,4.310000000000001,1.588,.911,.718
2006,Alaska,2,AK,56678,.334,.051,.456,.087,4.694,1.634,.972,.6960000000000001
2007,Alaska,2,AK,58758,.365,.05,.448,.063,4.889,1.416,.916,.736
2008,Alaska,2,AK,58042,.352,.04,.447,.08,5,1.41,.834,.6870000000000001
2009,Alaska,2,AK,58329,.336,.042,.468,.081,4.3,1.663,.879,.74
2010,Alaska,2,AK,59350,.357,.059,.477,.098,4.75,1.742,.965,.733
2011,Alaska,2,AK,58804,.348,.043,.446,.085,4.762000000000001,1.696,1.059,.653
2012,Alaska,2,AK,57234,.325,.063,.441,.082,4.579,1.561,.979,.716
2013,Alaska,2,AK,57885,.327,.05,.467,.063,4.545,1.504,1.105,.709
2014,Alaska,2,AK,60989,.348,.06,.455,.07,5.24,1.577,1.187,.727
1980,Arizona,4,AZ,38250,.33,.05,.358,.067,4.688,1.428,.515,.5620000000000001
1981,Arizona,4,AZ,38190,.304,.046,.374,.082,4.143,1.425,.543,.624
1982,Arizona,4,AZ,38477,.311,.062,.376,.095,4.133,1.541,.487,.603
1983,Arizona,4,AZ,39613,.316,.039,.373,.106,4.125,1.665,.54,.581
1984,Arizona,4,AZ,38078,.316,.044,.39,.062,4.25,1.662,.501,.613
1985,Arizona,4,AZ,40468,.339,.036,.386,.057,4.872,1.968,.538,.601
1986,Arizona,4,AZ,40850,.313,.05,.406,.054,3.944,1.556,.5540000000000001,.634
1987,Arizona,4,AZ,43503,.348,.056,.371,.064,4.659,1.825,.5750000000000001,.711
1988,Arizona,4,AZ,40864,.325,.038,.426,.054,4.413,1.652,.5570000000000001,.728
1989,Arizona,4,AZ,39814,.318,.031,.417,.056,4.444,1.626,.5700000000000001,.6790000000000001
1990,Arizona,4,AZ,37921,.309,.037,.442,.052,4.114,1.867,.5670000000000001,.6930000000000001
1991,Arizona,4,AZ,38884,.316,.039,.455,.039,4.2,1.784,.604,.736
1992,Arizona,4,AZ,40499,.311,.057,.415,.085,4.22,1.744,.792,.742
1993,Arizona,4,AZ,39548,.318,.064,.451,.064,4.7,1.786,.772,.783
1994,Arizona,4,AZ,40851,.324,.063,.403,.064,4.854,1.896,.743,.749
1995,Arizona,4,AZ,42016,.336,.054,.416,.056,4.952,1.606,.6800000000000001,.7030000000000001
1996,Arizona,4,AZ,39275,.356,.038,.402,.049,5,1.738,.5630000000000001,.764
1997,Arizona,4,AZ,39826,.371,.032,.376,.05,4.815,1.837,.646,.735
1998,Arizona,4,AZ,44887,.415,.034,.411,.048,5.236,2.098,.675,.71
1999,Arizona,4,AZ,44093,.375,.037,.409,.045,4.667,2.015,.588,.8250000000000001
2000,Arizona,4,AZ,42947,.36,.042,.443,.042,5,1.939,.591,.738
2001,Arizona,4,AZ,46790,.376,.05,.412,.045,5.2,1.998,.5760000000000001,.741
2002,Arizona,4,AZ,50869,.391,.045,.414,.065,4.929,2.225,.6950000000000001,.65
2003,Arizona,4,AZ,52801,.409,.058,.407,.064,5.357,2.299,.707,.65
2004,Arizona,4,AZ,53845,.42,.053,.397,.055,5.357,2.275,.7030000000000001,.663
2005,Arizona,4,AZ,51698,.386,.053,.398,.051,5,1.924,.74,.6830000000000001
2006,Arizona,4,AZ,49471,.379,.036,.392,.038,4.753,2.176,.6820000000000001,.762
2007,Arizona,4,AZ,51062,.398,.057,.408,.04,5.600000000000001,2.223,.772,.8060000000000001
2008,Arizona,4,AZ,50396,.36,.075,.408,.043,4.722,2.028,.755,.761
2009,Arizona,4,AZ,53018,.374,.063,.448,.099,4.556,2.034,.8180000000000001,.673
2010,Arizona,4,AZ,55031,.384,.05,.444,.101,5,2.074,.871,.752
2011,Arizona,4,AZ,51576,.363,.063,.433,.098,5.222,1.994,.9270000000000001,.762
2012,Arizona,4,AZ,52037,.39,.061,.437,.085,5.655,2.101,.9440000000000001,.73
2013,Arizona,4,AZ,50289,.371,.06,.416,.084,5.412,2.112,.839,.739
2014,Arizona,4,AZ,52796,.391,.075,.439,.069,5.722,1.951,.917,.736
1980,Arkansas,5,AR,30134,.301,.014,.375,.069,3.797,1.378,.321,.666
1981,Arkansas,5,AR,29946,.305,.021,.385,.081,4.378,1.51,.322,.611
1982,Arkansas,5,AR,31034,.304,.024,.408,.079,3.828,1.424,.304,.616
1983,Arkansas,5,AR,30915,.326,.029,.398,.101,4.283,1.671,.305,.643
1984,Arkansas,5,AR,31605,.318,.02,.387,.097,4.279,1.725,.291,.675
1985,Arkansas,5,AR,32820,.318,.012,.423,.086,4.155,1.599,.354,.599
1986,Arkansas,5,AR,33687,.319,.006,.417,.087,4.054,1.83,.383,.617
1987,Arkansas,5,AR,34083,.315,.014,.407,.091,4.211,1.701,.363,.6860000000000001
1988,Arkansas,5,AR,34276,.331,.023,.411,.086,4.25,1.607,.305,.666
1989,Arkansas,5,AR,32836,.312,.018,.423,.088,4.191,1.57,.352,.708
1990,Arkansas,5,AR,32189,.313,.021,.436,.074,4.5,1.542,.46,.727
1991,Arkansas,5,AR,31523,.302,.019,.449,.077,3.959,1.591,.378,.6780000000000001
1992,Arkansas,5,AR,32876,.308,.029,.425,.073,4.333,1.701,.413,.712
1993,Arkansas,5,AR,34617,.322,.017,.43,.065,4.16,1.767,.525,.6930000000000001
1994,Arkansas,5,AR,34064,.327,.022,.431,.054,4.556,1.696,.444,.746
1995,Arkansas,5,AR,34295,.31,.023,.449,.049,4.060000000000001,1.649,.476,.718
1996,Arkansas,5,AR,36255,.321,.025,.425,.063,4.489,1.746,.5590000000000001,.709
1997,Arkansas,5,AR,34114,.328,.018,.448,.055,4.792,1.745,.475,.717
1998,Arkansas,5,AR,34546,.322,.015,.463,.064,4.091,1.814,.459,.674
1999,Arkansas,5,AR,37191,.317,.034,.49,.043,4.193000000000001,1.616,.542,.6890000000000001
2000,Arkansas,5,AR,38197,.326,.049,.45,.056,4.167,1.569,.48,.742
2001,Arkansas,5,AR,42666,.387,.022,.491,.049,4.5,2.134,.585,.599
2002,Arkansas,5,AR,42625,.374,.019,.461,.08,4.583,2.121,.594,.8070000000000001
2003,Arkansas,5,AR,44420,.401,.033,.443,.054,4.560000000000001,2.554,.5560000000000001,.8020000000000001
2004,Arkansas,5,AR,41120,.349,.043,.458,.055,4.615,2.055,.587,.6800000000000001
2005,Arkansas,5,AR,41190,.355,.04,.483,.049,4.615,1.86,.578,.657
2006,Arkansas,5,AR,43139,.34,.024,.444,.057,4.4,1.988,.597,.7010000000000001
2007,Arkansas,5,AR,42791,.363,.011,.47,.055,4.643,2.096,.582,.721
2008,Arkansas,5,AR,44687,.364,.028,.453,.045,4.533,2.064,.609,.6900000000000001
2009,Arkansas,5,AR,44261,.348,.035,.419,.075,4.667,1.739,.5710000000000001,.8200000000000001
2010,Arkansas,5,AR,42542,.343,.033,.446,.084,4.667,1.873,.608,.8090000000000001
2011,Arkansas,5,AR,43125,.356,.04,.456,.093,4.667,1.679,.629,.773
2012,Arkansas,5,AR,44473,.333,.048,.429,.072,4.875,1.616,.8240000000000001,.739
2013,Arkansas,5,AR,45662,.374,.049,.439,.074,4.875,1.881,.795,.735
2014,Arkansas,5,AR,44008,.349,.04,.464,.064,4.167,1.689,.6940000000000001,.776
1980,California,6,CA,40302,.313,.058,.378,.066,4.452,1.556,.549,.623
1981,California,6,CA,40207,.309,.057,.382,.08,4.296,1.543,.5510000000000001,.649
1982,California,6,CA,41943,.316,.066,.385,.101,4.328,1.62,.597,.625
1983,California,6,CA,43670,.326,.056,.395,.119,4.558,1.619,.636,.63
1984,California,6,CA,43347,.318,.056,.405,.085,4.539,1.621,.646,.646
1985,California,6,CA,44135,.327,.055,.391,.077,4.762000000000001,1.659,.656,.669
1986,California,6,CA,45776,.333,.051,.386,.072,5.059,1.693,.629,.6770000000000001
1987,California,6,CA,46330,.338,.054,.404,.067,5,1.677,.643,.658
1988,California,6,CA,44606,.33,.055,.405,.054,5,1.632,.618,.705
1989,California,6,CA,43429,.33,.049,.409,.053,4.945,1.671,.631,.748
1990,California,6,CA,43653,.343,.046,.4,.056,5.331,1.766,.5660000000000001,.754
1991,California,6,CA,43825,.344,.045,.396,.081,5.061,1.748,.589,.752
1992,California,6,CA,43176,.341,.04,.405,.093,5.204,1.782,.627,.79
1993,California,6,CA,44427,.338,.044,.415,.106,5.45,1.818,.653,.782
1994,California,6,CA,44923,.347,.048,.413,.097,5.629,1.844,.721,.8100000000000001
1995,California,6,CA,44668,.348,.049,.403,.083,5.93,1.768,.704,.8080000000000001
1996,California,6,CA,46425,.384,.053,.413,.083,6,2.066,.7020000000000001,.761
1997,California,6,CA,48144,.395,.049,.398,.073,6.029,2.052,.725,.767
1998,California,6,CA,48678,.391,.044,.414,.068,5.909,1.921,.712,.756
1999,California,6,CA,50329,.41,.047,.406,.065,5.769,2.1,.657,.755
2000,California,6,CA,48221,.385,.049,.405,.056,5.735,2.073,.648,.767
2001,California,6,CA,54216,.408,.059,.412,.053,5.769,2.257,.76,.742
2002,California,6,CA,56401,.406,.054,.424,.069,5.654,2.26,.76,.764
2003,California,6,CA,55565,.399,.06,.42,.072,5.714,2.222,.78,.767
2004,California,6,CA,56153,.401,.058,.419,.072,5.667,2.102,.795,.786
2005,California,6,CA,54811,.399,.057,.409,.058,5.838,2.043,.767,.777
2006,California,6,CA,55570,.408,.056,.414,.052,6,2.277,.761,.759
2007,California,6,CA,58746,.42,.056,.416,.054,6.447,2.326,.797,.795
2008,California,6,CA,57333,.407,.061,.411,.067,6.188,2.098,.876,.837
2009,California,6,CA,60282,.416,.062,.417,.113,6.01,2.178,.9270000000000001,.763
2010,California,6,CA,60104,.408,.072,.429,.126,5.882000000000001,2.19,.9260000000000001,.786
2011,California,6,CA,56988,.394,.067,.422,.124,5.882000000000001,2.142,.92,.8160000000000001
2012,California,6,CA,59596,.417,.072,.43,.118,6.353,2.238,.9590000000000001,.756
2013,California,6,CA,59545,.409,.073,.425,.094,6.111,2.126,1.039,.775
2014,California,6,CA,58350,.408,.069,.43,.083,6.111,2.307,1.043,.777
1980,Colorado,8,CO,39854,.317,.053,.36,.056,4.473,1.463,.632,.5650000000000001
1981,Colorado,8,CO,39739,.313,.06,.369,.05,4.396,1.589,.5730000000000001,.603
1982,Colorado,8,CO,41632,.321,.065,.365,.077,4.270000000000001,1.499,.5750000000000001,.5680000000000001
1983,Colorado,8,CO,41834,.32,.059,.404,.103,4.375,1.518,.6930000000000001,.601
1984,Colorado,8,CO,43134,.308,.057,.385,.064,4.089,1.621,.718,.637
1985,Colorado,8,CO,43743,.315,.063,.394,.07,4.333,1.534,.6780000000000001,.63
1986,Colorado,8,CO,48487,.33,.076,.39,.079,4.835,1.767,.747,.608
1987,Colorado,8,CO,46668,.34,.062,.432,.107,5.333,1.715,.796,.588
1988,Colorado,8,CO,42394,.332,.046,.44,.072,4.627,1.73,.719,.646
1989,Colorado,8,CO,41729,.314,.059,.463,.071,4.424,1.592,.735,.752
1990,Colorado,8,CO,41993,.302,.079,.449,.059,4.5,1.486,.835,.7000000000000001
1991,Colorado,8,CO,43755,.323,.08,.402,.052,5.023,1.777,.883,.723
1992,Colorado,8,CO,44116,.327,.081,.413,.062,4.583,1.902,.774,.617
1993,Colorado,8,CO,43701,.319,.067,.443,.067,4.417,1.708,.878,.6800000000000001
1994,Colorado,8,CO,44827,.322,.076,.427,.058,4.5,1.863,.907,.6930000000000001
1995,Colorado,8,CO,46599,.332,.095,.415,.042,4.8,1.877,1.035,.725
1996,Colorado,8,CO,48317,.379,.065,.424,.04,4.667,2.058,.874,.657
1997,Colorado,8,CO,44810,.342,.06,.421,.039,4.944,1.563,.789,.6900000000000001
1998,Colorado,8,CO,50744,.378,.064,.439,.04,5.417,1.738,1.036,.6780000000000001
1999,Colorado,8,CO,51073,.34,.064,.444,.021,4.133,1.823,1.119,.78
2000,Colorado,8,CO,51680,.357,.066,.411,.031,4.667,1.759,.86,.733
2001,Colorado,8,CO,58185,.385,.084,.402,.034,5.297,1.924,.981,.6780000000000001
2002,Colorado,8,CO,58397,.403,.075,.397,.06,5.333,2.12,.9340000000000001,.7010000000000001
2003,Colorado,8,CO,55199,.375,.076,.421,.061,4.937,1.967,.919,.719
2004,Colorado,8,CO,56212,.36,.081,.415,.053,5.313,1.852,.99,.743
2005,Colorado,8,CO,56417,.372,.081,.439,.06,5.168,1.931,1.032,.7030000000000001
2006,Colorado,8,CO,56049,.393,.072,.4,.048,6,2.024,.9550000000000001,.713
2007,Colorado,8,CO,59507,.404,.062,.398,.04,5.588,2.159,1.037,.705
2008,Colorado,8,CO,60282,.394,.081,.407,.047,5.467000000000001,1.964,1.083,.6980000000000001
2009,Colorado,8,CO,62040,.387,.087,.421,.073,5.556,1.949,1.234,.738
2010,Colorado,8,CO,61063,.404,.093,.435,.095,5.522,2.04,1.285,.6990000000000001
2011,Colorado,8,CO,60288,.374,.096,.432,.094,5.350000000000001,1.883,1.325,.719
2012,Colorado,8,CO,61582,.4,.085,.433,.086,5.641,2.135,1.392,.733
2013,Colorado,8,CO,62301,.398,.095,.429,.076,5.7,2.121,1.477,.731
2014,Colorado,8,CO,60805,.38,.082,.427,.065,5.9,1.928,1.39,.729
1980,Connecticut,9,CT,40738,.306,.072,.369,.045,4.093,1.64,.582,.579
1981,Connecticut,9,CT,39133,.288,.059,.371,.053,3.625,1.616,.484,.593
1982,Connecticut,9,CT,42385,.305,.072,.388,.063,3.649,1.62,.594,.611
1983,Connecticut,9,CT,44643,.311,.069,.4,.071,4.182,1.606,.663,.583
1984,Connecticut,9,CT,44804,.308,.069,.39,.04,3.939,1.628,.669,.595
1985,Connecticut,9,CT,47844,.329,.049,.411,.052,4.2,1.71,.6830000000000001,.636
1986,Connecticut,9,CT,49245,.339,.065,.405,.041,4.5,1.783,.751,.5670000000000001
1987,Connecticut,9,CT,48563,.328,.059,.402,.036,4.322,1.797,.671,.592
1988,Connecticut,9,CT,48362,.317,.059,.433,.025,4.455,1.648,.596,.607
1989,Connecticut,9,CT,47694,.303,.045,.429,.041,3.982,1.585,.6800000000000001,.625
1990,Connecticut,9,CT,51440,.298,.073,.398,.061,3.714,1.588,.785,.639
1991,Connecticut,9,CT,51196,.303,.059,.426,.062,4.335,1.628,.765,.7010000000000001
1992,Connecticut,9,CT,49927,.299,.063,.457,.068,4.231,1.746,.794,.654
1993,Connecticut,9,CT,51222,.299,.053,.439,.063,3.938,1.596,.867,.673
1994,Connecticut,9,CT,51093,.296,.055,.452,.058,4,1.693,.8010000000000001,.6880000000000001
1995,Connecticut,9,CT,54684,.306,.08,.463,.057,4.333,1.69,.9440000000000001,.746
1996,Connecticut,9,CT,53587,.356,.071,.475,.073,4.815,1.88,.999,.705
1997,Connecticut,9,CT,56603,.385,.063,.472,.064,4.857,1.848,.885,.616
1998,Connecticut,9,CT,55963,.357,.045,.458,.046,5.185000000000001,1.885,.839,.642
1999,Connecticut,9,CT,62670,.389,.066,.466,.033,4.904,2.241,.9330000000000001,.584
2000,Connecticut,9,CT,60113,.366,.046,.451,.026,5.333,2.201,.9,.667
2001,Connecticut,9,CT,62244,.376,.057,.446,.031,5,1.957,.967,.6840000000000001
2002,Connecticut,9,CT,66971,.39,.05,.44,.042,5,2.06,.9450000000000001,.637
2003,Connecticut,9,CT,66365,.388,.074,.468,.064,5.111,2.245,1.006,.633
2004,Connecticut,9,CT,67340,.375,.071,.457,.062,5,2.002,1.066,.652
2005,Connecticut,9,CT,69361,.393,.077,.431,.058,4.75,2.21,1.186,.636
2006,Connecticut,9,CT,68261,.397,.071,.425,.049,5.102,2.167,1.125,.624
2007,Connecticut,9,CT,72241,.424,.069,.45,.043,6.053,2.174,1.263,.6850000000000001
2008,Connecticut,9,CT,69225,.391,.086,.46,.058,5.151,2.083,1.221,.711
2009,Connecticut,9,CT,71681,.395,.076,.457,.083,5.524,2.137,1.279,.639
2010,Connecticut,9,CT,78534,.432,.087,.433,.093,5.47,2.394,1.31,.655
2011,Connecticut,9,CT,73225,.391,.095,.449,.101,5.773,2.271,1.328,.7030000000000001
2012,Connecticut,9,CT,75635,.421,.089,.453,.084,5.714,2.324,1.434,.659
2013,Connecticut,9,CT,74639,.421,.087,.458,.082,6.19,2.215,1.507,.754
2014,Connecticut,9,CT,70308,.393,.099,.451,.073,6.25,2.265,1.581,.748
1980,Delaware,10,DE,38620,.329,.085,.336,.07,4.86,1.73,.475,.529
1981,Delaware,10,DE,39101,.321,.067,.354,.087,4.713,1.805,.526,.5670000000000001
1982,Delaware,10,DE,41370,.331,.082,.376,.084,4.309,1.74,.54,.5520000000000001
1983,Delaware,10,DE,41244,.319,.05,.388,.091,4.175,1.797,.5550000000000001,.5750000000000001
1984,Delaware,10,DE,39693,.332,.039,.415,.059,4.375,1.81,.537,.615
1985,Delaware,10,DE,41553,.322,.044,.394,.06,4.222,1.671,.5760000000000001,.595
1986,Delaware,10,DE,39571,.32,.058,.405,.048,4.588,1.611,.507,.651
1987,Delaware,10,DE,40608,.316,.05,.414,.038,4.502,1.643,.5560000000000001,.607
1988,Delaware,10,DE,40082,.307,.04,.429,.032,4.444,1.629,.51,.6850000000000001
1989,Delaware,10,DE,42549,.303,.048,.441,.032,4.3,1.705,.5640000000000001,.652
1990,Delaware,10,DE,42262,.297,.063,.438,.044,4.444,1.528,.537,.668
1991,Delaware,10,DE,40620,.313,.058,.449,.078,4.174,1.635,.483,.6810000000000001
1992,Delaware,10,DE,42633,.308,.033,.494,.062,4.455,1.8,.633,.652
1993,Delaware,10,DE,43831,.307,.042,.441,.058,4,1.718,.611,.771
1994,Delaware,10,DE,42905,.302,.055,.425,.06,4,1.782,.65,.778
1995,Delaware,10,DE,43578,.305,.051,.455,.042,4.32,1.767,.663,.725
1996,Delaware,10,DE,46254,.32,.06,.465,.054,3.929,1.686,.8140000000000001,.73
1997,Delaware,10,DE,51268,.36,.063,.463,.054,5,2.163,.797,.732
1998,Delaware,10,DE,52462,.397,.049,.461,.037,5.154,2.179,.714,.649
1999,Delaware,10,DE,44461,.316,.045,.457,.037,5,1.745,.7020000000000001,.722
2000,Delaware,10,DE,51688,.329,.056,.491,.038,4.167,1.859,.755,.747
2001,Delaware,10,DE,54339,.374,.054,.471,.037,4.733000000000001,2.195,.6920000000000001,.6830000000000001
2002,Delaware,10,DE,55539,.361,.057,.463,.046,4.808,2.046,.77,.7010000000000001
2003,Delaware,10,DE,54655,.373,.053,.485,.048,5,2.072,.714,.665
2004,Delaware,10,DE,52117,.352,.047,.473,.049,4.688,1.785,.713,.706
2005,Delaware,10,DE,51136,.339,.057,.465,.043,4.507,1.664,.733,.747
2006,Delaware,10,DE,52706,.379,.05,.441,.038,5.667,1.844,.721,.756
2007,Delaware,10,DE,52894,.35,.054,.453,.038,4.833,1.85,.721,.736
2008,Delaware,10,DE,53587,.37,.067,.458,.045,5.409,1.857,.859,.735
2009,Delaware,10,DE,54300,.362,.069,.491,.082,4.944,1.906,.886,.757
2010,Delaware,10,DE,54477,.352,.045,.481,.09,4.5,1.802,.8240000000000001,.8270000000000001
2011,Delaware,10,DE,52671,.345,.055,.473,.08,4.679,1.709,.886,.728
2012,Delaware,10,DE,52259,.341,.054,.471,.088,4.842000000000001,1.587,1.03,.761
2013,Delaware,10,DE,52572,.36,.058,.467,.082,5.111,1.883,1.077,.8150000000000001
2014,Delaware,10,DE,54203,.367,.059,.482,.067,5.342000000000001,2.042,1.046,.836
1980,District of Columbia,11,DC,40369,.316,.032,.526,.077,4.615,1.825,.8010000000000001,.759
1981,District of Columbia,11,DC,39441,.319,.048,.512,.086,4.571,1.754,.839,.751
1982,District of Columbia,11,DC,41761,.345,.047,.496,.122,5.143,1.981,.746,.663
1983,District of Columbia,11,DC,42816,.334,.04,.53,.103,4.75,1.785,.794,.735
1984,District of Columbia,11,DC,43751,.349,.04,.506,.107,5.25,1.977,.864,.754
1985,District of Columbia,11,DC,46015,.363,.047,.498,.085,5.875,2.302,.8300000000000001,.8200000000000001
1986,District of Columbia,11,DC,44297,.332,.05,.516,.08,4.778000000000001,1.825,.9270000000000001,.748
1987,District of Columbia,11,DC,46562,.332,.039,.548,.052,4.65,1.93,1,.794
1988,District of Columbia,11,DC,46169,.327,.065,.513,.049,4.8,1.892,.962,.8170000000000001
1989,District of Columbia,11,DC,46362,.331,.044,.494,.031,4.869,1.955,.968,.8080000000000001
1990,District of Columbia,11,DC,45152,.343,.05,.507,.059,5.075,2.064,.9480000000000001,.843
1991,District of Columbia,11,DC,45835,.341,.048,.523,.055,5.349,2.018,1.017,.761
1992,District of Columbia,11,DC,50096,.352,.034,.549,.096,5.148,2.029,1.309,.789
1993,District of Columbia,11,DC,51853,.338,.042,.526,.084,4.681,2.128,1.464,.9560000000000001
1994,District of Columbia,11,DC,50725,.363,.066,.484,.088,5.833,2.345,1.435,.9270000000000001
1995,District of Columbia,11,DC,50854,.351,.056,.494,.078,5.565,2.066,1.397,.871
1996,District of Columbia,11,DC,56657,.387,.034,.5590000000000001,.077,5.102,2.361,1.413,.729
1997,District of Columbia,11,DC,56875,.412,.037,.507,.079,5.551,1.833,1.513,.768
1998,District of Columbia,11,DC,61584,.436,.031,.513,.094,6.231,2.566,1.395,.73
1999,District of Columbia,11,DC,65805,.446,.04,.494,.068,6.923,2.716,1.42,.728
2000,District of Columbia,11,DC,59005,.381,.067,.477,.051,5.935000000000001,2.317,1.388,.8310000000000001
2001,District of Columbia,11,DC,59953,.401,.069,.517,.074,5.333,2.394,1.111,.75
2002,District of Columbia,11,DC,60594,.394,.07,.504,.073,5.288,2.595,1.396,.786
2003,District of Columbia,11,DC,66990,.436,.052,.503,.07,6.41,2.323,1.423,.735
2004,District of Columbia,11,DC,67009,.422,.076,.509,.073,6.741000000000001,2.476,1.29,.9320000000000001
2005,District of Columbia,11,DC,63527,.421,.06,.526,.068,6.667,2.57,1.284,.787
2006,District of Columbia,11,DC,72169,.46,.06,.532,.069,6.875,2.968,1.696,.6870000000000001
2007,District of Columbia,11,DC,72601,.45,.068,.503,.051,6.11,2.727,1.534,.7020000000000001
2008,District of Columbia,11,DC,67523,.433,.061,.515,.067,6.111,2.701,1.698,.8120000000000001
2009,District of Columbia,11,DC,73167,.423,.076,.484,.077,6.861,2.666,1.974,.885
2010,District of Columbia,11,DC,77710,.436,.074,.501,.096,6.5,2.249,2.162,.8300000000000001
